-10 -110
-9.9 -107.91
-9.8 -105.84
-9.7 -103.79
-9.6 -101.76
-9.5 -99.75
-9.4 -97.76
-9.3 -95.7899
-9.2 -93.8399
-9.1 -91.9099
-9 -89.9999
-8.9 -88.1099
-8.8 -86.2399
-8.7 -84.3899
-8.59999 -82.5599
-8.49999 -80.7499
-8.39999 -78.9599
-8.29999 -77.1899
-8.19999 -75.4399
-8.09999 -73.7099
-7.99999 -71.9999
-7.89999 -70.3099
-7.79999 -68.6399
-7.69999 -66.9899
-7.59999 -65.3599
-7.49999 -63.7499
-7.39999 -62.1599
-7.29999 -60.5899
-7.19999 -59.0399
-7.09999 -57.5099
-6.99999 -55.9999
-6.89999 -54.5099
-6.79999 -53.0399
-6.69999 -51.5899
-6.59999 -50.1599
-6.49999 -48.7499
-6.39999 -47.3599
-6.29999 -45.9899
-6.19999 -44.6399
-6.09999 -43.3099
-5.99999 -41.9999
-5.89999 -40.7099
-5.79999 -39.4399
-5.7 -38.1899
-5.6 -36.9599
-5.5 -35.7499
-5.4 -34.5599
-5.3 -33.3899
-5.2 -32.2399
-5.1 -31.11
-5 -30
-4.9 -28.91
-4.8 -27.84
-4.7 -26.79
-4.6 -25.76
-4.5 -24.75
-4.4 -23.76
-4.3 -22.79
-4.2 -21.84
-4.1 -20.91
-4 -20
-3.9 -19.11
-3.8 -18.24
-3.7 -17.39
-3.6 -16.56
-3.5 -15.75
-3.4 -14.96
-3.3 -14.19
-3.2 -13.44
-3.1 -12.71
-3 -12
-2.9 -11.31
-2.8 -10.64
-2.7 -9.98999
-2.6 -9.35999
-2.5 -8.74999
-2.4 -8.15999
-2.3 -7.58999
-2.2 -7.03999
-2.1 -6.50999
-2 -5.99999
-1.9 -5.50999
-1.8 -5.03999
-1.7 -4.58999
-1.6 -4.15999
-1.5 -3.74999
-1.4 -3.35999
-1.3 -2.98999
-1.2 -2.63999
-1.1 -2.30999
-0.999998 -1.99999
-0.899998 -1.70999
-0.799998 -1.44
-0.699998 -1.19
-0.599998 -0.959996
-0.499998 -0.749996
-0.399998 -0.559997
-0.299998 -0.389997
-0.199998 -0.239997
-0.0999981 -0.109998
1.86116e-06 1.86115e-06
0.100002 0.0900015
0.200002 0.160001
0.300002 0.210001
0.400002 0.24
0.500002 0.25
0.600002 0.24
0.700002 0.209999
0.800002 0.159999
0.900002 0.0899984
1 -1.90735e-06
1.1 -0.110002
1.2 -0.240003
1.3 -0.390003
1.4 -0.560004
1.5 -0.750004
1.6 -0.960005
1.7 -1.19
1.8 -1.44001
1.9 -1.71001
2 -2.00001
2.1 -2.31001
2.2 -2.64001
2.3 -2.99001
2.4 -3.36001
2.5 -3.75001
2.6 -4.16001
2.7 -4.59001
2.8 -5.04001
2.9 -5.51001
3 -6.00001
3.1 -6.51001
3.2 -7.04001
3.3 -7.59
3.4 -8.16
3.5 -8.75
3.6 -9.36
3.7 -9.99
3.8 -10.64
3.9 -11.31
4 -12
4.1 -12.71
4.2 -13.44
4.3 -14.19
4.4 -14.96
4.5 -15.75
4.6 -16.56
4.7 -17.39
4.8 -18.24
4.9 -19.11
5 -20
5.1 -20.91
5.2 -21.84
5.3 -22.79
5.4 -23.76
5.5 -24.75
5.6 -25.76
5.7 -26.79
5.8 -27.84
5.9 -28.91
6 -30
6.1 -31.11
6.2 -32.24
6.3 -33.39
6.4 -34.56
6.5 -35.75
6.6 -36.96
6.7 -38.19
6.8 -39.44
6.9 -40.71
7 -42
7.1 -43.31
7.2 -44.64
7.3 -45.99
7.4 -47.36
7.5 -48.75
7.6 -50.16
7.7 -51.59
7.8 -53.04
7.9 -54.51
8 -56
8.1 -57.5099
8.2 -59.04
8.3 -60.59
8.4 -62.16
8.5 -63.75
8.6 -65.36
8.7 -66.99
8.8 -68.64
8.9 -70.31
9 -72
9.1 -73.71
9.2 -75.44
9.3 -77.19
9.4 -78.96
9.5 -80.75
9.6 -82.56
9.7 -84.3901
9.8 -86.2401
9.9 -88.1101
